Date Tested,Keyword,Translation,Theme,Category,Keyword Type ,Language,Note,Reference,
07/2016,天安门镇压,Tiananmen Crackdown,Event,Tiananmen Square Massacre ,phrase,simplified Chinese,Reference to the military crackdown on the Tiananmen Movement,,
07/2016,89年 学潮 镇压,89 Year Student Strike Crackdown,Event,Tiananmen Square Massacre ,combo,simplified Chinese,Reference to the military crackdown on the Tiananmen Movement,,
07/2016,六四 学生 民主运动,June 4 Student Democracy Movement,Event,Tiananmen Square Massacre ,combo,simplified Chinese,Reference to the June 4 1989 Tiananmen Square Movement,,
07/2016,自由西藏,Free Tibet,Political,Tibet,phrase,simplified Chinese,Reference to the movement for the independence of Tibet and the political separation of Tibet from China,https://en.wikipedia.org/wiki/Free_Tibet,
07/2016,藏青会,Tibetan Youth Congress,Political,Tibet,phrase,simplified Chinese,Reference to an international non-governmental organization that advocates the independence of Tibet from China,https://en.wikipedia.org/wiki/Tibetan_Youth_Congress,
07/2016,西藏独立,Tibet Independence (Movement),Political,Tibet,phrase,simplified Chinese,Reference to the movement for the independence of Tibet and the political separation of Tibet from China,https://en.wikipedia.org/wiki/Tibetan_independence_movement,
07/2016,雪山狮子旗,Snow Lion Flag,Political,Tibet,phrase,simplified Chinese,"Reference to the Tibetan flag, a symbol of the Tibetan independence movement",,
07/2016,自由亞洲電台,Radio Free Asia,Political,Media ,phrase,traditional Chinese,Nonprofit international broadcasting agency of the US government that targets audiences in East Asia,https://zh.wikipedia.org/wiki/%E8%87%AA%E7%94%B1%E4%BA%9A%E6%B4%B2%E7%94%B5%E5%8F%B0,
07/2016,wisalstudio com,wisalstudio com,Political,Uyghur,combo,English,"URL leads to a website called ""Wisal Studio"" that publishes videos and articles about Uyghurs and Muslims. The website is in both Chinese and Uyghur.",http://www.wisalstudio.net/cn/index.php,
07/2016,allah yolida,For the sake of Allah/God,Political,Uyghur,combo,Uyghur ,,https://archive.org/details/Allah-Yolida-Jiahad-Teyyarliki-Kilix-Toghrisida,
07/2016,دىن ئىسلام يولۋاس,Faith/Religion is Islam,Political,Uyghur,phrase,Uyghur,,,
07/2016,ئىسلام ئاۋازى,Voice of Islam,Political,Uyghur,phrase,Uyghur,,,
07/2016,ئاللاھ يولىدا,For the sake of Allah/God,Political,Uyghur,phrase,Uyghur,,,
07/2016,جەننەت ئاشىق,In love with/enthusiastic for Heaven/Jannah,Political,Uyghur,phrase,Uyghur,,,
07/2016,بولۇ شەھىد,Become martyr,Political,Uyghur,phrase,Uyghur,,https://jamestown.org/program/uyghur-militants-in-syria-the-turkish-connection/,
2016-08-30,15日实行x全市大罢工x灌云x连云港,15 day carry out City-wide strike Guanyun Lianyungang,Event,Lianyungang Protest,combo,simplified Chinese,Reference to protest in Lianyungang in China&rsquo;s north eastern Jiangsu province over rumors that the city is a planned site of a nuclear power plant developed by France and China.,https://chinadigitaltimes.net/chinese/2016/09/%E5%B7%B4%E4%B8%A2%E8%8D%89-%E9%80%9A%E5%95%86%E5%AE%BD%E8%A1%A3/,
2016-09-06,通商宽衣,Facilitate Commerce and Loosen Clothing,Event,G20,phrase ,simplified Chinese,"Reference to a gaffe President Xi Jingping made during his speech at the 2016 G20 Summit in Hangzhou, China.",,
2016-11-25,习核心,Xi Core,People ,Gov official,phrase,simplified Chinese,"At the Sixth Plenum of the 18th Communist Party of China Congress was held in Beijing. During this party meeting, Chinese President Xi Jinping received a status lift when the Communist Party gave him the title of &ldquo;core&rdquo; leader",http://www.nytimes.com/2016/10/28/world/asia/xi-jinping-china.html?_r=0,
