Result,idx,Date,Source
非洲大撒幣,93,2024-09-05T13:26:16Z,https://www.rfa.org/cantonese/news/cn-africa-09052024060359.html
64纪念碑,188,2024-09-03T22:09:59Z,https://www.rfa.org/mandarin/yataibaodao/renquanfazhi/sc-activist-zhu-yufu-visits-sculpture-park-09032024132834.html
二十大 + 赶,1743,2024-08-27T17:37:35Z,https://www.rfa.org/mandarin/zhuanlan/yehuazhongnanhai/gx-sun-zhigang-proportionate-punishment-08272024101712.html
金正恩 + 暴君,136,2024-08-23T15:37:16Z,https://www.dw.com/zh/哈里斯：-我不会去讨好像金正恩那样的暴君和独裁者们/a-70031775?maca=chi-rss-chi-all-1127-rdf
澳門老牌,560,2024-08-23T13:25:45Z,https://www.rfa.org/cantonese/news/htm/mo-election-08232024064138.html
神经 + 江泽民,1249,2024-08-22T16:39:33Z,https://botanwang.com/articles/202408/%E4%B8%8D%E5%AE%9E%E6%8A%A5%E5%AF%BC%E6%94%BB%E5%87%BB%E7%A5%9E%E9%9F%B5%7C%E7%BA%BD%E6%97%B6%E8%83%8C%E5%8F%9B%E6%96%B0%E9%97%BB%E7%90%86%E5%BF%B5.html
Falun + Dafa,31,2024-08-20T17:39:28Z,https://botanwang.com/articles/202408/%E7%BA%BD%E7%BA%A6%E7%9F%A5%E5%90%8D%E5%8D%8E%E4%BA%BA%E9%A9%B3%E7%BA%BD%E7%BA%A6%E6%97%B6%E6%8A%A5%E4%B8%8D%E5%AE%9E%E6%8A%A5%E5%AF%BC.html
学习墙国,1086,2024-08-17T15:46:12Z,https://botanwang.com/articles/202408/%E5%85%AC%E5%BC%80%E5%8F%AB%E5%96%8A%E2%80%9C%E4%B9%A0%E8%BF%91%E5%B9%B3%E4%B8%8B%E5%8F%B0%E2%80%9D%7C%E2%80%9C%E5%86%B2%E5%A1%94%E2%80%9D%E9%9D%92%E5%B9%B4%E7%96%91%E5%B7%B2%E5%A4%B1%E8%81%94.html
四・二六社论,9819,2024-08-04T08:42:04Z,https://botanwang.com/articles/202408/%E5%85%AD%E5%9B%9B%E5%90%8E%E4%B8%AD%E5%85%B1%E5%A6%82%E4%BD%95%E6%95%B4%E8%82%83%E9%A6%99%E6%B8%AF%E3%80%8A%E6%96%87%E6%B1%87%E6%8A%A5%E3%80%8B.html
金日成 + 独裁,756,2024-08-02T21:05:37Z,https://www.rfa.org/mandarin/yataibaodao/kejiaowen/2024-paris-olympics/wy-north-korea-aouth-korea-atheletes-08022024133522.html
维尼 + 独裁,1198,2024-08-02T20:55:22Z,https://www.rfa.org/mandarin/yataibaodao/renquanfazhi/kw2-hunan-xi-jinping-protest-banner-08022024125456.html
XiAusescu,1115,2024-07-30T23:43:50Z,https://chinadigitaltimes.net/chinese/710159.html
獨裁國賊,198,2024-07-30T21:17:23Z,https://www.rfa.org/cantonese/news/xijinping-07302024142431.html
罷免習,15,2024-07-30T21:17:11Z,https://www.rfa.org/cantonese/news/xijinping-07302024142431.html
罢免习,727,2024-07-30T16:48:34Z,https://botanwang.com/articles/202407/%E6%B9%96%E5%8D%97%E5%A8%84%E5%BA%95%E7%8E%B0%E5%BD%AD%E7%AB%8B%E5%8F%91%E7%AC%AC%E4%BA%8C%7C%E6%8B%89%E6%A8%AA%E5%B9%85%E6%94%BE%E5%B9%BF%E6%92%AD%E5%8F%8D%E7%8B%AC%E8%A3%81.html
習澤東,978,2024-07-30T14:05:25Z,https://www.rfa.org/cantonese/news/wu-07302024071949.html
袭 + 近 + 平,197,2024-07-30T07:03:24Z,http://politics.people.com.cn/n1/2024/0730/c1001-40288836.html
嚴歌苓,4,2024-07-28T18:03:05Z,https://www.voacantonese.com/a/7715982.html
四・二六社論,9853,2024-07-24T21:38:47Z,https://www.rfa.org/cantonese/commentaries/ching/ching-com-07242024104647.html
銀河國際,102,2024-07-18T14:43:23Z,https://finance.mingpao.com/fin/instantf/20240718/1721299824361/%e6%b5%b7%e5%80%ab%e5%8f%b8%e6%98%8e%e8%b5%b7%e6%96%bc%e6%96%b0%e5%8a%a0%e5%9d%a1%e7%ac%ac%e4%ba%8c%e4%b8%8a%e5%b8%82
二十大 + 肃清,3256,2024-07-16T15:18:01Z,https://botanwang.com/articles/202407/%E5%B7%9D%E6%99%AE%E9%81%AD%E6%9E%AA%E5%87%BB%7C%E4%B8%AD%E5%8D%97%E6%B5%B7%E7%9A%84%E5%8F%8D%E5%BA%94%E5%BE%88%E5%8F%A6%E7%B1%BB.html
xjp,1077,2024-07-15T22:15:09Z,https://chinadigitaltimes.net/chinese/709723.html
刘善人,1698,2024-07-15T17:18:58Z,https://www.rfa.org/mandarin/pinglun/weise/ws-tibetan-slavery-system-exhibition-07152024104738.html
中共迫害,89,2024-07-13T15:44:51Z,https://botanwang.com/articles/202407/%E4%B8%AD%E5%85%B1%E8%87%AA%E5%B7%B1%E6%89%93%E5%80%92%E4%BA%86%E8%87%AA%E5%B7%B1.html
20大 + 抗议,2499,2024-07-12T20:44:58Z,https://botanwang.com/articles/202407/%E8%92%99%E5%8F%A4%E6%97%8F%E4%BA%BA%E6%9D%83%E9%A2%86%E8%A2%96%E5%9C%A8%E4%B8%96%E7%95%8C%E5%85%AC%E6%B0%91%E6%B3%95%E9%99%A2%E6%8E%A7%E8%AF%89%E4%B8%AD%E5%85%B1%E5%9C%A8%E5%86%85%E8%92%99%E6%8E%A8%E8%A1%8C%E6%96%87%E5%8C%96%E7%81%AD%E7%BB%9D%E6%94%BF%E7%AD%96.html
20大 + 游行,9,2024-07-12T16:05:43Z,https://botanwang.com/articles/202407/%E6%B3%95%E8%BD%AE%E5%8A%9F%E7%BE%8E%E5%9B%BD%E9%A6%96%E9%83%BD7%C2%B720%E5%A4%A7%E6%B8%B8%E8%A1%8C%7C%E9%9C%87%E6%92%BC%E4%BA%BA%E5%BF%83.html
銀河娛樂,127,2024-07-11T12:12:35Z,https://finance.mingpao.com/fin/instantf/20240711/1720690626511/%e6%be%b3%e9%96%80%e5%8d%9a%e7%9b%a3%e5%b1%80-%e4%b8%ad%e4%bb%8b%e4%ba%ba%e6%95%b8%e7%9b%ae%e4%b8%8a%e9%99%90%e7%b6%ad%e6%8c%8150%e5%90%8d%e4%b8%8d%e8%ae%8a
喜 + 近 + 平,2259,2024-07-08T09:39:28Z,http://politics.people.com.cn/n1/2024/0708/c1001-40273616.html
溪 + 近 + 平,91,2024-07-07T16:31:49Z,http://politics.people.com.cn/n1/2024/0707/c1001-40272856.html
20大 + 抓,671,2024-07-02T13:27:01Z,https://botanwang.com/articles/202407/%E4%B8%89%E4%B8%AD%E5%85%A8%E4%BC%9A%E5%89%8D%EF%BC%8C%E4%B8%AD%E5%8D%97%E6%B5%B7%E5%AF%B9%E5%AE%98%E5%91%98%E5%86%8D%E5%8B%92%E7%B4%A7%E6%94%BF%E6%B2%BB%E7%BB%9E%E7%B4%A2.html
颠覆邓小平,3132,2024-06-19T17:31:06Z,https://botanwang.com/articles/202406/%E4%B8%AD%E5%85%B1%E4%BA%8C%E5%8D%81%E5%A4%A7%E4%B8%89%E4%B8%AD%E5%85%A8%E4%BC%9A%E4%B8%BA%E4%BB%80%E4%B9%88%E6%8B%96%E8%BF%99%E4%B9%88%E4%B9%85%EF%BC%9F%E4%BC%9A%E5%81%9A%E4%BB%80%E4%B9%88%EF%BC%9F.html
二十大 + 拖,2,2024-06-19T13:34:10Z,https://www.voachinese.com/a/preview-of-the-long-delayed-third-plenary-session-of-20th-cpc-central-committee-20240611/7652051.html
稍有常識的人,95,2024-06-18T16:58:43Z,https://www.rfa.org/cantonese/commentaries/lj/com-lj-06182024095841.html
维尼皇,898,2024-06-17T08:54:35Z,https://chinadigitaltimes.net/chinese/708991.html
熊维尼小,769,2024-06-17T07:54:21Z,https://chinadigitaltimes.net/chinese/708991.html
献忠学,442,2024-06-11T14:11:19Z,https://chinadigitaltimes.net/chinese/708820.html
