Result,idx,Date,Source
习近平的败笔,5,2023-01-02T14:43:52Z,https://www.dw.com/zh/德语媒体：习近平的败笔/a-64249213?maca=chi-rss-chi-all-1127-rdf
习近平翻脸,764,2023-01-02T14:46:07Z,https://botanwang.com/articles/202212/%E4%B8%96%E5%8D%AB%E6%80%BB%E5%B9%B2%E4%BA%8B%E8%B0%AD%E5%BE%B7%E8%B5%9B%E8%A6%81%E6%B1%82%E5%8C%97%E4%BA%AC%E6%8F%90%E4%BE%9B%E7%96%AB%E6%83%85%E7%9C%9F%E5%AE%9E%E6%95%B0%E6%8D%AE.html
连任 + 清零 + 习近平,376,2023-01-02T14:48:49Z,https://www.rfa.org/mandarin/pinglun/wangdan/wd-12302022184721.html
习近平 + 大言不惭,52,2023-01-02T14:50:46Z,https://botanwang.com/articles/202212/%E4%B9%A0%E8%BF%91%E5%B9%B3%E7%9C%9F%E7%9A%84%E6%9C%89%E6%9C%AC%E4%BA%8B%EF%BC%8C%E4%B8%8D%E5%A6%82%E4%BA%B2%E8%87%AA%E6%8A%93%E6%AE%A1%E8%91%AC%E5%B7%A5%E4%BD%9C.html
近平 + 崩溃,1588,2023-01-02T14:52:42Z,https://botanwang.com/articles/202212/%E4%B9%A0%E8%BF%91%E5%B9%B3%E7%9C%9F%E7%9A%84%E6%9C%89%E6%9C%AC%E4%BA%8B%EF%BC%8C%E4%B8%8D%E5%A6%82%E4%BA%B2%E8%87%AA%E6%8A%93%E6%AE%A1%E8%91%AC%E5%B7%A5%E4%BD%9C.html
习近平 + 不懂经济,1222,2023-01-02T14:54:00Z,https://botanwang.com/articles/202301/%E3%80%96%E5%85%B2%E6%9C%9D%E6%B5%AE%E4%B8%96%E7%BB%98%E3%80%972022%E5%B9%B4%E5%A4%A7%E4%BA%8B%E7%BA%AA%E6%80%BB%E7%BB%93.html
胡锦涛 + 被架出,2625,2023-01-02T14:55:10Z,https://botanwang.com/articles/202301/%E3%80%96%E5%85%B2%E6%9C%9D%E6%B5%AE%E4%B8%96%E7%BB%98%E3%80%972022%E5%B9%B4%E5%A4%A7%E4%BA%8B%E7%BA%AA%E6%80%BB%E7%BB%93.html
近平 + 没文化,2890,2023-01-02T14:56:13Z,https://botanwang.com/articles/202301/%E3%80%96%E5%85%B2%E6%9C%9D%E6%B5%AE%E4%B8%96%E7%BB%98%E3%80%972022%E5%B9%B4%E5%A4%A7%E4%BA%8B%E7%BA%AA%E6%80%BB%E7%BB%93.html
二十大 + 不要核酸,3310,2023-01-02T14:58:44Z,https://botanwang.com/articles/202301/%E3%80%96%E5%85%B2%E6%9C%9D%E6%B5%AE%E4%B8%96%E7%BB%98%E3%80%972022%E5%B9%B4%E5%A4%A7%E4%BA%8B%E7%BA%AA%E6%80%BB%E7%BB%93.html
习近平 + 瓜,0,2023-01-02T15:01:26Z,http://politics.people.com.cn/n1/2023/0101/c1024-32597978.html
近平 + 暴力,105,2023-01-02T15:02:21Z,https://botanwang.com/articles/202301/%E4%B9%A0%E8%BF%91%E5%B9%B3%E6%96%B0%E5%B9%B4%E8%B4%BA%E8%AF%8D%E9%81%AD%E5%91%9B%E5%A3%B0%7C%EF%BC%9A%E9%87%8A%E6%94%BE%E2%80%9C%E7%99%BD%E7%BA%B8%E8%BF%90%E5%8A%A8%E2%80%9D%E8%A2%AB%E6%8D%95%E8%80%85.html
