Date Tested,Keyword,Translation,# of Components,Language
2016-12-14,党为了政治+神州遍地生霾+各种蓝就出来,Party for Political Purposes + Shenzhou (China) Produces Smog Everywhere + All Kinds of Blue Would Come Out,3,simplified Chinese
2016-12-15,自由将大大萎缩+迫使政府撤回+叶刘淑仪,Freedom Will Decline Largely + Force Goverment to Take Back + Regina Ip Lau Suk-yee,3,simplified Chinese
2016-12-15,自由將大大萎縮+迫使政府撤回+葉劉淑儀,Freedom Will Decline Largely + Force Goverment to Take Back + Regina Ip Lau Suk-yee,3,traditional Chinese
2016-12-15,毛式独裁+党内元老+提名继任者,Maoist Authocracy + Party Senior + Nominate Successor,3,simplified Chinese
2016-12-15,毛式獨裁+黨內元老+提名繼任者,Maoist Authocracy + Party Senior + Nominate Successor,3,traditional Chinese
2016-12-15,Jinping+autocracy+successor,,3,English
2016-12-15,习近平缺少+一人独裁+容易操纵,Xi Jinping Lacks + One-man Autocracy + Easy to Manipulate,3,simplified Chinese
2016-12-15,習近平缺少+一人獨裁+容易操縱,Xi Jinping Lacks + One-man Autocracy + Easy to Manipulate,3,traditional Chinese
2016-12-15,选美冠军林耶凡+中国当局拒绝入境,Beauty Queen Anastasia Lin + Chinese Authorities Block Entering Border,2,simplified Chinese
2016-12-15,選美冠軍林耶凡+中國當局拒絕入境,Beauty Queen Anastasia Lin + Chinese Authorities Block Entering Border,2,traditional Chinese
2016-12-15,人权律师+江天勇+失踪,Human Rights Lawyer + Jiang Tianyong + Missing,3,simplified Chinese
2016-12-15,人權律師+江天勇+失蹤,Human Rights Lawyer + Jiang Tianyong + Missing,3,traditional Chinese
2016-12-15,江天勇+709+维权律师,Jiang Tianyong + 709 + Rights Lawyer,3,simplified Chinese
2016-12-15,江天勇+709+維權律師,Jiang Tianyong + 709 + Rights Lawyer,3,traditional Chinese
2016-12-15,流亡美国+乌坎村民+武力镇压,Exile to America + Wukan Villager + Military Crackdown,3,simplified Chinese
2016-12-15,流亡美國+烏坎村民+武力鎮壓,Exile to America + Wukan Villager + Military Crackdown,3,traditional Chinese
2016-12-15,习近平+铁腕手法+大权独揽,Xi Jinping + Iron Fist + Hold All Power,3,simplified Chinese
2016-12-15,習近平+鐵腕手法+大權獨攬,Xi Jinping + Iron Fist + Hold All Power,3,traditional Chinese
2016-12-18,异议人士彭明+强烈质疑+拒绝前往中国,Dissident Peng Ming + Seriously Doubt + Refuse to Go to China,3,simplified Chinese
2016-12-18,異議人士彭明+強烈質疑+拒絕前往中國,Dissident Peng Ming + Seriously Doubt + Refuse to Go to China,3,traditional Chinese
2016-12-21,维权人士+诺贝尔和平奖+刘晓波,Rights Activist + Nobel Peace Prize + Liu Xiaobo,3,simplified Chinese
2016-12-21,維權人士+諾貝爾和平獎+劉曉波,Rights Activist + Nobel Peace Prize + Liu Xiaobo,3,traditional Chinese
2016-12-21,外长李大维+谴责圣国+待价而沽,Foreign Minister Li Dawei + Denounce São Tomé + Wait for the Right Price,3,simplified Chinese
2016-12-21,外長李大維+譴責聖國+待價而沽,Foreign Minister Li Dawei + Denounce São Tomé + Wait for the Right Price,3,traditional Chinese
2016-12-22,起诉北京+政府不正确履行+防治责任违法,Sue Beijing + Govt Not Fulfiling + Breaking Responsibility of Prevention and Control ,3,simplified Chinese
2016-12-22,起訴北京+政府不正確履行+防治責任違法,Sue Beijing + Govt Not Fulfiling + Breaking Responsibility of Prevention and Control ,3,traditional Chinese
2016-12-22,访民廖建军+中南海喊冤+当局+打击上访,Petitioner Liao Jianjun + Cry Out Grievances in Zhongnanhai + Authorities + Crack down on Petitions ,4,simplified Chinese
2016-12-22,訪民廖建軍+中南海喊冤+當局+打擊上訪,Petitioner Liao Jianjun + Cry Out Grievances in Zhongnanhai + Authorities + Crack down on Petitions ,4,traditional Chinese
2016-12-22,中央政府+無法猜透+中南海高層,Centrl Govt + Unable to Guess + High-Level Figures in Zhongnanhai,3,traditional Chinese
2016-12-22,中央政府+无法猜透+中南海高层,Centrl Govt + Unable to Guess + High-Level Figures in Zhongnanhai,3,simplified Chinese
2016-12-23,镇压民众+六四天网+大陆被封锁,Crack Down on Civilian + June 4 Tianwang + Blocked in Mainland,3,simplified Chinese
2016-12-24,人被弄死+编造故事+雷洋案,Cause a person's death + Make Up Story + Lei Yang Case,3,simplified Chinese
2016-12-24,人被弄死+編造故事+雷洋案,Cause a person's death + Make Up Story + Lei Yang Case,3,traditional Chinese
2016-12-24,推翻共产党+政变+习近平,Overthrow CCP + Coup + Xi Jinping,3,simplified Chinese
2016-12-29,周永康的亲信+王建平+被带走,Zhou Yongkang's Trusted Follower + Wang Jianping + Taken Away,3,simplified Chinese
2016-12-29,Yongkang+Xi+corruption,,3,English
2016-12-29,不予起诉+法治耻辱+历届校友,Dismiss Charges + Shame on Rule of Law + Alumni,3,simplified Chinese
2016-12-29,共产党高层+整肃涉台+恫吓台湾,CCP High-leve + Put Taiwan-related (officials) in order + Intimidate Taiwan,3,simplified Chinese
2016-12-30,学生游行+六四镇压,Student demonstration + June 4 Crackdown,2,simplified Chinese
2016-12-30,频繁攻击+伊斯兰恐惧症+穆斯林的仇恨,Frequently Attack + Islamophobia + Hate against Muslim,3,simplified Chinese
2016-12-30,新疆的分裂+发动恐怖袭击+压迫性政策,Xijiang's Separation + Launch Terrorist Attack + Oppressive Policy,3,simplified Chinese
2016-12-30,维权组织+政府在新疆的高压政策+地区动荡,Rights Organization + Goverment's oppressive policies in Xinjiang + Turmoil in the Region,3,simplified Chinese
2016-12-30,Islam+Awazi,,2,English
2016-12-30,揣测北京+忠于中共的一派+中国地下教会,Conjecture Beijing + Faction Loyal to CCP + Chiness Underground Church,3,simplified Chinese
2016-12-30,黄奇帆+取代杨晶+任国务院秘书长,Huang Qifan + Replace Yang Jing + Appointed ,3,simplified Chinese
2017-01-03,銅鑼灣書店+桂民海,Causeway Bay Bookstore + Gui Minhai,2,traditional Chinese
